artifact_pt,artifact_en,pathology_pt,pathology_en,co_occurrence,n_pathology,pct_pathology_with_artifact
LUZ,LIGHT REFLECTION,EROSÃO,EROSION,86,318,27.0
LUZ,LIGHT REFLECTION,ENANTEMA,ENANTHEMA,43,199,21.6
SALIVA,SALIVA,EROSÃO,EROSION,31,318,9.7
SALIVA,SALIVA,ENANTEMA,ENANTHEMA,20,199,10.1
SALIVA,SALIVA,ÚLCERA,ULCER,12,80,15.0
LUZ,LIGHT REFLECTION,ÚLCERA,ULCER,9,80,11.2
LUZ,LIGHT REFLECTION,MICRONODULARIDADE,MICRONODULARITY,7,33,21.2
LUZ,LIGHT REFLECTION,PÓLIPO,POLYP,6,50,12.0
SALIVA,SALIVA,PÓLIPO,POLYP,6,50,12.0
SALIVA,SALIVA,MICRONODULARIDADE,MICRONODULARITY,4,33,12.1
LUZ,LIGHT REFLECTION,NEOPLASIA,NEOPLASIA,4,4,100.0
SALIVA,SALIVA,NEOPLASIA,NEOPLASIA,3,4,75.0
SALIVA,SALIVA,ECTASIA VASCULAR,VASCULAR ECTASIA,2,4,50.0
LUZ,LIGHT REFLECTION,ECTASIA VASCULAR,VASCULAR ECTASIA,2,4,50.0
