label_a_pt,label_b_pt,label_a_en,label_b_en,co_occurrence,n_valid,P(a),P(b),"P(a,b)",PMI,nPMI,phi,lift,jaccard
EROSÃO,LUZ,EROSION,LIGHT REFLECTION,86,1980,0.1606,0.1965,0.0434,0.4695,0.1041,0.0814,1.3765,0.1385
ENANTEMA,LUZ,ENANTHEMA,LIGHT REFLECTION,43,1980,0.1005,0.1965,0.0217,0.1595,0.029,0.0165,1.0998,0.0789
ENANTEMA,EROSÃO,ENANTHEMA,EROSION,34,1980,0.1005,0.1606,0.0172,0.1193,0.0205,0.0093,1.0638,0.0704
EROSÃO,SALIVA,EROSION,SALIVA,31,1980,0.1606,0.1162,0.0157,-0.2179,-0.0366,-0.0255,0.8392,0.06
SALIVA,LUZ,SALIVA,LIGHT REFLECTION,26,1980,0.1162,0.1965,0.0131,-0.7529,-0.1214,-0.0761,0.5754,0.0438
ÚLCERA,EROSÃO,ULCER,EROSION,21,1980,0.0404,0.1606,0.0106,0.7535,0.116,0.0569,1.6344,0.0557
ENANTEMA,SALIVA,ENANTHEMA,SALIVA,20,1980,0.1005,0.1162,0.0101,-0.152,-0.0232,-0.0163,0.8652,0.0489
ENANTEMA,ÚLCERA,ENANTHEMA,ULCER,12,1980,0.1005,0.0404,0.0061,0.668,0.0921,0.0338,1.4925,0.0449
ÚLCERA,SALIVA,ULCER,SALIVA,12,1980,0.0404,0.1162,0.0061,0.4601,0.0634,0.0217,1.2913,0.0403
ÚLCERA,LUZ,ULCER,LIGHT REFLECTION,9,1980,0.0404,0.1965,0.0045,-0.674,-0.0883,-0.0434,0.5726,0.0196
MICRONODULARIDADE,LUZ,MICRONODULARITY,LIGHT REFLECTION,7,1980,0.0167,0.1965,0.0035,0.2565,0.0322,0.0051,1.0797,0.0169
PÓLIPO,SALIVA,POLYP,SALIVA,6,1980,0.0253,0.1162,0.003,0.2345,0.0288,0.0019,1.033,0.0219
PÓLIPO,LUZ,POLYP,LIGHT REFLECTION,6,1980,0.0253,0.1965,0.003,-0.5211,-0.064,-0.031,0.6108,0.0139
ENANTEMA,PÓLIPO,ENANTHEMA,POLYP,4,1980,0.1005,0.0253,0.002,-0.0431,-0.005,-0.011,0.796,0.0163
ENANTEMA,MICRONODULARIDADE,ENANTHEMA,MICRONODULARITY,4,1980,0.1005,0.0167,0.002,0.5419,0.0628,0.009,1.206,0.0175
PÓLIPO,EROSÃO,POLYP,EROSION,4,1980,0.0253,0.1606,0.002,-0.7166,-0.083,-0.0353,0.4981,0.011
PÓLIPO,NEOPLASIA,POLYP,NEOPLASIA,4,1980,0.0253,0.002,0.002,5.2789,0.6115,0.2795,39.6,0.08
ÚLCERA,MICRONODULARIDADE,ULCER,MICRONODULARITY,4,1980,0.0404,0.0167,0.002,1.8459,0.2138,0.0534,3.0,0.0367
ENANTEMA,NEOPLASIA,ENANTHEMA,NEOPLASIA,4,1980,0.1005,0.002,0.002,3.3074,0.3831,0.1346,9.9497,0.0201
PÓLIPO,ÚLCERA,POLYP,ULCER,4,1980,0.0253,0.0404,0.002,1.2609,0.1461,0.0324,1.98,0.0317
NEOPLASIA,LUZ,NEOPLASIA,LIGHT REFLECTION,4,1980,0.002,0.1965,0.002,2.344,0.2715,0.091,5.09,0.0103
MICRONODULARIDADE,SALIVA,MICRONODULARITY,SALIVA,4,1980,0.0167,0.1162,0.002,0.334,0.0387,0.0021,1.0435,0.0154
MICRONODULARIDADE,NEOPLASIA,MICRONODULARITY,NEOPLASIA,4,1980,0.0167,0.002,0.002,5.8638,0.6793,0.3456,60.0,0.1212
